first_pokemon,second_pokemon,winner,did_first_win
266,298,298,0
702,701,701,0
191,668,668,0
237,683,683,0
151,231,151,1
657,752,657,1
192,134,134,0
73,545,545,0
220,763,763,0
302,31,31,0
442,130,130,0
701,624,701,1
15,283,283,0
151,87,151,1
269,462,269,1
763,448,448,0
143,263,263,0
365,240,240,0
499,774,499,1
563,578,563,1
440,687,687,0
373,441,441,0
654,671,671,0
121,355,121,1
609,649,649,0
270,708,270,1
460,568,568,0
626,767,767,0
139,451,139,1
694,747,694,1
455,549,549,0
181,301,301,0
208,184,184,0
536,365,536,1
260,381,381,0
471,269,269,0
621,287,287,0
406,134,406,1
592,503,503,0
564,242,242,0
579,242,242,0
200,719,200,1
376,135,376,1
76,441,441,0
667,645,645,0
475,400,475,1
3,737,737,0
435,45,435,1
231,146,146,0
510,715,715,0
456,260,260,0
164,751,751,0
424,754,424,1
258,779,258,1
360,208,208,0
723,646,646,0
384,533,533,0
734,673,673,0
141,721,141,1
244,741,244,1
509,217,509,1
633,44,633,1
595,719,595,1
606,40,606,1
368,598,368,1
746,584,746,1
350,187,350,1
303,198,303,1
169,701,701,0
569,115,115,0
231,172,172,0
71,440,71,1
659,610,610,0
570,557,557,0
712,40,712,1
451,352,451,1
661,95,95,0
540,4,540,1
130,319,130,1
125,418,418,0
309,276,276,0
579,612,612,0
716,80,80,0
482,535,535,0
376,37,37,0
6,328,328,0
343,159,159,0
509,574,574,0
546,530,546,1
486,229,229,0
686,213,213,0
304,386,386,0
514,732,732,0
161,757,161,1
150,265,265,0
436,701,701,0
221,265,265,0
436,603,603,0
242,365,242,1
792,251,792,1
607,295,607,1
439,209,209,0
657,360,657,1
436,40,40,0
325,408,408,0
472,89,472,1
71,777,71,1
47,615,47,1
5,670,5,1
793,314,314,0
195,461,195,1
493,568,493,1
400,341,341,0
63,297,63,1
541,446,541,1
141,152,141,1
54,115,115,0
378,161,161,0
224,316,316,0
311,398,398,0
298,35,298,1
356,132,356,1
103,370,103,1
503,453,503,1
600,598,600,1
445,45,445,1
360,548,548,0
303,133,133,0
51,331,51,1
171,559,171,1
758,129,758,1
6,255,6,1
698,154,154,0
92,491,491,0
381,73,381,1
354,271,271,0
219,49,219,1
736,244,244,0
683,245,245,0
533,452,533,1
200,588,588,0
403,636,403,1
56,561,561,0
54,119,119,0
629,141,629,1
547,779,547,1
380,547,547,0
407,307,307,0
153,559,153,1
306,268,306,1
89,382,89,1
54,32,32,0
172,745,745,0
16,110,110,0
537,734,537,1
278,94,278,1
342,643,643,0
435,165,165,0
638,691,691,0
734,718,718,0
298,781,298,1
42,113,42,1
97,316,97,1
416,397,397,0
483,400,483,1
275,155,155,0
154,461,154,1
309,4,4,0
539,30,30,0
545,266,545,1
283,340,340,0
232,254,254,0
384,427,427,0
161,781,161,1
496,420,496,1
268,159,159,0
473,593,473,1
550,475,550,1
199,785,785,0
385,732,732,0
488,196,488,1
30,587,30,1
36,494,494,0
513,184,184,0
129,106,129,1
6,604,6,1
137,315,137,1
83,509,509,0
585,534,585,1
743,57,57,0
220,723,723,0
764,665,764,1
708,439,708,1
28,545,545,0
23,796,23,1
698,147,147,0
306,635,635,0
158,666,158,1
55,750,750,0
513,439,513,1
769,264,264,0
232,499,499,0
23,623,23,1
97,250,250,0
324,544,544,0
517,10,517,1
586,461,461,0
779,349,349,0
669,226,226,0
623,53,623,1
538,718,718,0
438,242,438,1
523,759,523,1
14,103,103,0
378,152,152,0
478,361,478,1
137,698,137,1
354,739,739,0
233,684,684,0
291,605,291,1
96,264,264,0
730,137,137,0
129,744,129,1
611,107,611,1
58,560,560,0
658,146,658,1
625,753,625,1
524,27,524,1
794,474,794,1
365,391,391,0
592,585,592,1
512,586,512,1
526,424,424,0
70,456,70,1
540,288,540,1
347,389,347,1
689,128,128,0
211,701,701,0
336,385,336,1
594,80,80,0
785,490,490,0
425,308,425,1
27,731,731,0
459,399,459,1
421,494,421,1
578,768,768,0
63,82,63,1
257,221,257,1
4,150,4,1
546,333,546,1
308,544,544,0
213,442,213,1
575,302,302,0
209,645,209,1
92,768,92,1
116,672,116,1
132,69,69,0
568,396,568,1
644,218,644,1
321,163,163,0
17,164,164,0
715,190,715,1
51,57,51,1
237,448,448,0
580,676,580,1
789,726,726,0
420,718,420,1
83,499,499,0
526,159,159,0
115,56,56,0
358,636,358,1
54,532,532,0
534,798,534,1
768,179,768,1
94,724,724,0
795,437,795,1
313,432,432,0
305,251,305,1
269,289,269,1
593,733,733,0
568,428,428,0
290,287,287,0
762,733,762,1
217,100,100,0
668,87,668,1
165,49,165,1
123,771,771,0
261,154,154,0
225,640,640,0
313,103,103,0
106,505,505,0
453,614,614,0
107,48,48,0
722,590,590,0
559,431,431,0
141,727,727,0
490,239,490,1
490,340,340,0
373,128,128,0
3,730,3,1
502,91,502,1
714,104,714,1
788,276,276,0
459,16,16,0
432,143,432,1
724,2,724,1
648,533,648,1
250,357,250,1
155,439,155,1
447,20,20,0
366,371,366,1
337,770,337,1
358,765,358,1
198,110,198,1
152,760,760,0
164,577,164,1
174,646,646,0
438,59,59,0
614,443,614,1
789,127,127,0
504,421,421,0
565,214,214,0
158,635,635,0
386,21,21,0
408,404,404,0
349,440,349,1
410,295,410,1
83,569,569,0
249,411,249,1
173,609,173,1
770,572,572,0
51,473,473,0
452,106,106,0
550,769,550,1
525,740,525,1
464,762,762,0
147,798,798,0
572,45,572,1
569,741,569,1
193,28,28,0
247,445,247,1
511,280,280,0
435,44,44,0
794,359,794,1
196,758,758,0
470,410,410,0
631,164,164,0
451,790,451,1
211,442,442,0
773,582,773,1
403,59,59,0
401,413,413,0
228,679,679,0
753,196,196,0
578,434,434,0
210,40,40,0
38,716,716,0
