a_type_1,a_type_2,a_hp,a_attack,a_defense,a_sp_atk,a_sp_def,a_speed,a_generation,a_legendary,b_type_1,b_type_2,b_hp,b_attack,b_defense,b_sp_atk,b_sp_def,b_speed,b_generation,b_legendary,did_a_win,pair_key
Fairy,Flying,55,40,85,80,105,40,2,0,Psychic,,75,75,75,125,95,40,5,0,0,Beheeyem_vs_Togetic
Fire,,40,40,40,70,40,20,2,0,Dragon,,77,120,90,60,90,48,5,0,0,Druddigon_vs_Slugma
Rock,Water,70,60,125,115,70,55,1,0,Bug,Rock,20,10,230,10,230,5,2,0,1,Omastar_vs_Shuckle
Bug,Electric,50,47,50,57,50,65,5,0,Steel,Ghost,60,50,150,50,150,60,6,0,1,Aegislash Shield Forme_vs_Joltik
Fighting,,70,80,50,35,35,35,1,0,Ghost,Dragon,150,100,120,100,120,90,4,1,0,Giratina Altered Forme_vs_Machop
Bug,,50,65,90,35,35,15,2,0,Water,,50,53,62,58,63,44,6,0,0,Clauncher_vs_Pineco
Water,Flying,40,30,30,55,30,85,3,0,Electric,,35,55,40,50,50,90,1,0,0,Pikachu_vs_Wingull
Normal,Flying,40,55,30,30,30,60,4,0,Water,,30,45,55,70,55,85,1,0,0,Starly_vs_Staryu
Rock,Fighting,91,129,90,72,90,108,5,1,Ghost,,38,30,85,55,65,30,5,0,1,Terrakion_vs_Yamask
Bug,,50,20,55,25,25,30,1,0,Water,Ground,100,110,90,85,90,60,3,0,0,Metapod_vs_Swampert
Rock,Water,70,60,125,115,70,55,1,0,Water,Psychic,95,75,110,100,80,30,1,0,1,Omastar_vs_Slowbro
Rock,Dark,100,164,150,95,120,71,2,0,Bug,Flying,70,94,50,94,50,66,4,0,1,Mega Tyranitar_vs_Mothim
Water,,50,53,62,58,63,44,6,0,Bug,,77,85,51,55,51,65,4,0,0,Clauncher_vs_Kricketune
Water,Ice,130,85,80,85,95,60,1,0,Electric,,90,85,75,115,100,115,2,1,0,Lapras_vs_Raikou
Fighting,Steel,70,145,88,140,70,112,4,0,Rock,Fairy,50,50,150,50,150,50,6,0,1,Carbink_vs_Mega Lucario
Water,Ghost,55,40,50,65,85,40,5,0,Ghost,Fire,60,55,90,145,90,80,5,0,0,Chandelure_vs_Frillish
Ground,Rock,105,130,120,45,45,40,1,0,Fire,Ground,70,120,100,145,105,20,3,0,1,Mega Camerupt_vs_Rhydon
Grass,,45,35,50,70,50,30,5,0,Electric,Flying,55,75,60,75,60,103,5,0,0,Emolga_vs_Petilil
